Counter,Location,Block,Species,Treatment,Date_04,Use_growth_04,foliar_N_mg_g_04,Date_06,Use_growth_06,foliar_N_mg_g_06,Aboveground_mass_g_dry_06,AGB_est_kg_04,AGB_est_kg_06,Ndfa_u_04,Ndfa_u_06,AGB_g_N_04,AGB_g_N_06,Nfix_g_N_u_04,Nfix_g_N_u_06,Nfix_g_N_yr_u_04,Nfix_g_N_yr_u_06,Nfix_g_N_yr_u_04_06,Nfix_g_N_kg_biomass_yr_u_04,Nfix_g_N_kg_biomass_yr_u_06,Nfix_g_N_kg_biomass_yr_u_04_06,Nfix_g_N_g_biomass_N_yr_u_04,Nfix_g_N_g_biomass_N_yr_u_06,Nfix_g_N_g_biomass_N_yr_u_04_06
1,HI,1,ACKO,HN,6/20/18,0,NA,7/18/19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,HI,2,ACKO,HN,6/20/18,1,24.88825524,7/18/19,1,31.01060218,4230.310956,0.595114709,4.090148919,42.08946814,69.13005528,7.902570468,53.88203792,3.326149879,37.2486826,1.108716626,9.312170649,31.78563126,1.863030118,2.276731443,7.771265031,0.140298227,0.172825138,0.589911453
3,HI,3,ACKO,HN,6/20/18,0,NA,7/18/19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,HI,4,ACKO,HN,6/20/18,1,12.2864148,7/18/19,1,16.94241134,13051.92871,9.548427189,11.57575903,68.86763008,78.24828385,90.9888062,118.0688674,62.66183446,92.38686251,20.88727815,23.09671563,21.18968316,2.187509811,1.995265759,1.830522138,0.229558767,0.19562071,0.179468844
5,HI,5,ACKO,HN,6/20/18,1,20.88728712,7/18/19,1,22.32134061,6448.67272,2.932580477,8.529825551,61.08400722,73.17294173,36.44417681,104.781246,22.26156359,76.67152006,7.420521198,19.16788001,50.0042438,2.53037257,2.247159675,5.862282118,0.203613357,0.182932354,0.477225131
6,HI,6,ACKO,HN,6/20/18,1,23.18583483,7/18/19,1,27.7443019,12893.27494,2.808931533,13.91713114,73.06275657,73.67075665,35.41187749,180.192393,25.87289385,132.7490993,8.62429795,33.18727483,106.6609012,3.070312625,2.384634771,7.664000588,0.243542522,0.184176892,0.59192788
7,HI,7,ACKO,HN,6/20/18,0,46.29500164,7/18/19,0,NA,NA,0.021329777,NA,-96.61251031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,HI,8,ACKO,HN,6/20/18,0,NA,7/18/19,0,20.08354449,22.1,0.00040246,0.01151011,NA,37.34044689,NA,0.241657012,NA,0.090235808,NA,0.022558952,NA,NA,1.959924973,NA,NA,0.093351117,NA
9,HI,1,ACKO,LN,6/20/18,1,NA,7/18/19,1,14.35218407,1871.110303,0.758008759,1.467905195,NA,96.18454522,NA,12.9061061,NA,12.41367946,NA,3.103419864,NA,NA,2.114182765,NA,NA,0.240461363,NA
10,HI,2,ACKO,LN,6/20/18,1,18.97464371,7/18/19,1,21.43393742,2857.6354,0.772175993,1.823702545,81.90498235,92.47467438,8.653057341,19.91862632,7.087285088,18.41968483,2.362428363,4.604921208,10.41779823,3.059442904,2.525039635,5.712443765,0.273016608,0.231186686,0.523017906
11,HI,3,ACKO,LN,6/20/18,0,NA,7/18/19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,HI,4,ACKO,LN,6/20/18,0,23.60220987,7/18/19,0,24.04164673,87.4,0.00812546,0.061445625,-53.73292522,88.68958863,0.172291067,1.129351687,-0.09257703,1.001617365,-0.03085901,0.250404341,0.848813127,-3.797816986,4.075218395,13.8140531,-0.179109751,0.221723972,0.75159327
13,HI,5,ACKO,LN,6/20/18,1,14.09469426,7/18/19,0,16.86491616,13319.96153,13.14287329,13.53240736,98.04067239,89.84738181,112.694265,125.9990516,110.4862151,113.2068489,36.82873838,28.30171224,11.95400241,2.802183173,2.091402622,0.883361112,0.326802241,0.224618455,0.094873749
14,HI,6,ACKO,LN,6/20/18,0,24.22747152,7/18/19,0,21.44464974,302.05529,0.358669006,0.481585475,-87.78717407,-204.7672462,4.902572096,7.086665985,-4.3038295,-14.51117079,-1.434609833,-3.627792696,-4.47230891,-3.999815455,-7.533019338,-9.286635794,-0.292623914,-0.511918116,-0.631087866
15,HI,7,ACKO,LN,6/20/18,1,21.90971634,7/18/19,1,20.65939677,2140.16513,0.9571992,3.401728688,65.04710113,87.72914657,12.64239367,35.49444698,8.223510595,31.13897542,2.741170198,7.784743854,20.04791135,2.863740586,2.288467003,5.893448063,0.21682367,0.219322866,0.564818248
16,HI,8,ACKO,LN,6/20/18,1,30.2188671,7/18/19,1,17.53408587,8999.78892,1.005694898,6.453471741,97.38980782,98.94592117,14.32655044,58.60353086,13.95259994,57.98580345,4.650866648,14.49645086,43.81026615,4.624530419,2.246302679,6.788635312,0.324632693,0.247364803,0.747570419
17,HI,1,ACKO,MN,6/20/18,0,13.1753315,7/18/19,0,18.74320911,792.34,0.984482912,0.885298488,-31.96406374,-131.2388592,7.937930945,9.824948532,-2.537285307,-12.89415037,-0.845761769,-3.223537592,-2.476500353,-0.859092381,-3.641187278,-2.797362004,-0.106546879,-0.328097148,-0.252062425
18,HI,2,ACKO,MN,6/20/18,0,NA,7/18/19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,HI,3,ACKO,MN,6/20/18,1,17.7438752,7/18/19,1,24.40241842,9759.218797,3.20373405,9.720265536,-4.37399679,27.80613981,29.61008592,105.5934279,-1.295144207,29.3614562,-0.431714736,7.340364049,21.12803431,-0.134753612,0.755160857,2.173606701,-0.014579989,0.06951535,0.200088535
20,HI,4,ACKO,MN,6/20/18,1,21.11364812,7/18/19,1,18.16401115,NA,17.2555707,68.63395304,89.92638287,88.77886041,182.3480401,919.4496299,163.9789967,816.2769035,54.65966557,204.0692259,654.3903915,3.167653306,2.973298445,9.534499508,0.29975461,0.221947151,0.711719675
21,HI,5,ACKO,MN,6/20/18,0,13.522426,7/18/19,0,17.33875464,554.397561,0.59332373,0.608956256,-59.73316201,-85.10796724,5.042628105,6.265171671,-3.012121216,-5.332160253,-1.004040405,-1.333040063,-1.040481978,-1.69223032,-2.189057178,-1.708631724,-0.19911054,-0.212769918,-0.166073977
22,HI,6,ACKO,MN,6/20/18,1,16.74254494,7/18/19,0,NA,NA,6.808209957,NA,58.61428815,NA,58.2280087,NA,34.12993281,NA,11.37664427,NA,NA,1.671018423,NA,NA,0.195380961,NA,NA
23,HI,7,ACKO,MN,6/20/18,1,17.49975686,7/18/19,1,22.82425854,10231.76664,6.02109765,9.234980174,71.55165586,62.1801936,52.95417477,94.23259726,37.88958889,58.59401141,12.62986296,14.64850285,25.66700302,2.097601417,1.586197542,2.779324107,0.23850552,0.155450484,0.272379238
24,HI,8,ACKO,MN,6/20/18,1,31.89531213,7/18/19,1,21.7348004,3770.638874,1.22666749,5.200960245,-24.5364218,-1.456440804,18.61821178,52.22098619,-4.568242974,-0.760567751,-1.522747658,-0.190141938,-0.489404518,-1.24136954,-0.036559006,-0.094098877,-0.081788073,-0.003641102,-0.009371798
25,HI,1,ACKO,PHN,6/20/18,0,NA,7/18/19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,HI,2,ACKO,PHN,6/20/18,1,16.5422373,7/18/19,0,NA,NA,12.54371427,NA,68.87192566,NA,121.1520869,NA,83.43977525,NA,27.81325842,NA,NA,2.217306439,NA,NA,0.229573086,NA,NA
27,HI,3,ACKO,PHN,6/20/18,1,15.85642002,7/18/19,1,21.01866666,55519.6933,26.64522532,43.23959152,73.22914014,71.55643011,271.2988351,524.0006503,198.6698041,374.9561591,66.22326805,93.73903978,180.8243978,2.485370916,2.167898366,4.181917346,0.244097134,0.178891075,0.3450843
28,HI,4,ACKO,PHN,6/20/18,1,21.45661983,7/18/19,1,27.14653139,28475.08589,14.98553571,26.73014228,78.80997712,86.73352799,189.4906254,375.92555,149.3375185,326.0534922,49.77917285,81.51337304,161.7015875,3.321814702,3.049492673,6.049409907,0.262699924,0.21683382,0.430142584
29,HI,5,ACKO,PHN,6/20/18,1,21.18374105,7/18/19,0,NA,NA,6.395276723,NA,87.31582387,NA,67.5678449,NA,58.99742045,NA,19.66580682,NA,NA,3.07505174,NA,NA,0.291052746,NA,NA
30,HI,6,ACKO,PHN,6/20/18,1,22.27768282,7/18/19,1,21.90063031,1099.399954,0.379006935,1.313739848,15.92237181,38.71080361,5.528990724,16.75461513,0.880346461,6.485846156,0.29344882,1.621461539,4.345529416,0.774257126,1.234233354,3.307754897,0.053074573,0.096777009,0.25936313
31,HI,7,ACKO,PHN,6/20/18,1,22.90240292,7/18/19,1,11.26414664,9649.720351,5.323157329,10.19325244,76.43457976,38.26329821,53.62308436,75.04138544,40.98657918,28.71330909,13.66219306,7.178327273,8.195348417,2.566558194,0.704223438,0.803997396,0.254781933,0.095658246,0.109211049
32,HI,8,ACKO,PHN,6/20/18,0,NA,7/18/19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,HI,1,DOVI,HN,6/20/18,1,27.51598387,7/18/19,1,29.00970546,4666.970303,2.833616301,8.530828559,NA,NA,28.73889352,88.74130165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,HI,2,DOVI,HN,6/20/18,1,24.0293537,7/18/19,1,22.08119516,7423.90114,2.526723302,6.016374373,NA,NA,23.1349632,51.06708297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,HI,3,DOVI,HN,6/20/18,1,17.75581767,7/18/19,0,NA,NA,6.423646773,NA,NA,NA,52.20056234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,HI,4,DOVI,HN,6/20/18,1,19.39554813,7/18/19,1,20.32326373,5688.84453,3.999042217,5.521198817,NA,NA,30.38343511,43.22864349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,HI,5,DOVI,HN,6/20/18,0,NA,7/18/19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,HI,6,DOVI,HN,6/20/18,1,25.45080562,7/18/19,1,21.47087625,278.5687598,0.036774365,0.290755039,NA,NA,0.354473398,2.544421338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,HI,7,DOVI,HN,6/20/18,1,23.31599831,7/18/19,1,20.33862753,14436.08,3.732896389,10.57936797,NA,NA,29.65592265,81.67870891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,HI,8,DOVI,HN,6/20/18,1,18.72813023,7/18/19,1,16.24898666,2514.03422,0.702653041,2.286113201,NA,NA,5.107979335,16.03590956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,HI,1,DOVI,LN,6/20/18,1,NA,7/18/19,0,20.16077589,3183.768419,2.805025601,3.286542117,NA,NA,NA,25.18087811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,HI,2,DOVI,LN,6/20/18,1,14.5039183,7/18/19,1,20.6650376,7471.435152,0.382889814,5.952387223,NA,NA,3.171462077,44.48559288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,HI,3,DOVI,LN,6/20/18,1,28.15660483,7/18/19,0,19.10951432,3839.6491,5.71654298,4.98560443,NA,NA,47.53838714,30.85347062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,HI,4,DOVI,LN,6/20/18,0,NA,7/18/19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,HI,5,DOVI,LN,6/20/18,0,NA,7/18/19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,HI,6,DOVI,LN,6/20/18,1,23.19562899,7/18/19,1,24.25179611,14203.19592,10.09869784,14.2124619,NA,NA,66.43559006,92.74086017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,HI,7,DOVI,LN,6/20/18,0,25.85383896,7/18/19,0,13.28423474,18.70328,0.004617909,0.019881429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,HI,8,DOVI,LN,6/20/18,1,17.73148369,7/18/19,1,10.40128928,264.4625,0.139410799,0.232830505,NA,NA,1.402377939,1.64849814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,HI,1,DOVI,MN,6/20/18,1,15.35252104,7/18/19,1,18.64722785,20619.35319,8.368448106,17.94755981,NA,NA,61.7828651,136.0146942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,HI,2,DOVI,MN,6/20/18,1,16.99151623,7/18/19,1,19.26658049,3314.74253,1.648649424,3.583083369,NA,NA,15.04395568,31.69236347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,HI,3,DOVI,MN,6/20/18,1,20.80062955,7/18/19,1,20.12552959,16465.86955,4.7286294,16.52931241,NA,NA,50.60625156,157.7558885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,HI,4,DOVI,MN,6/20/18,1,21.88618203,7/18/19,1,26.32100967,7796.94873,4.642853697,7.547797779,NA,NA,40.11634525,70.21383048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,HI,5,DOVI,MN,6/20/18,0,17.00379869,7/18/19,0,NA,NA,0.075474642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,HI,6,DOVI,MN,6/20/18,1,24.87684118,7/18/19,1,17.53204438,3009.65237,0.725533885,3.499082388,NA,NA,8.830459668,27.97918682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,HI,7,DOVI,MN,6/20/18,0,NA,7/18/19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,HI,8,DOVI,MN,6/20/18,0,22.28418723,7/18/19,0,25.15022144,68.58578,0.007099641,0.064519808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,HI,1,DOVI,PHN,6/20/18,1,22.66636301,7/18/19,1,18.67600788,13987.88194,2.791808252,14.44561294,NA,NA,19.79219857,49.69347027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,HI,2,DOVI,PHN,6/20/18,1,NA,7/18/19,0,NA,NA,4.77257915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,HI,3,DOVI,PHN,6/20/18,1,21.94135511,7/18/19,0,NA,NA,4.220139969,NA,NA,NA,25.91832654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,HI,4,DOVI,PHN,6/20/18,0,26.74551283,7/18/19,0,20.88941956,91.00355,0.09553622,0.09581547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,HI,5,DOVI,PHN,6/20/18,0,NA,7/18/19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,HI,6,DOVI,PHN,6/20/18,1,32.04044287,7/18/19,0,18.5153839,789.13452,0.739341673,0.318418177,NA,NA,11.21092132,5.677836234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,HI,7,DOVI,PHN,6/20/18,1,26.54987859,7/18/19,1,29.81776815,1100.65763,0.697750783,1.074211069,NA,NA,9.778044621,14.60077983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,HI,8,DOVI,PHN,6/20/18,1,25.2667167,7/18/19,1,19.46408578,573.07804,0.052083592,0.540026508,NA,NA,1.608096837,6.092717773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,HI,1,MOFA,HN,6/20/18,0,NA,7/18/19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,HI,2,MOFA,HN,6/20/18,0,NA,7/18/19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,HI,3,MOFA,HN,6/20/18,1,20.96217155,7/18/19,1,15.42974611,24544.0624,2.558195969,24.81804975,41.9203022,66.89719977,29.21294053,173.1617039,12.24615295,115.840331,4.082050984,28.96008275,96.29769182,1.595675638,1.166895991,3.880147424,0.139734341,0.167242999,0.556114254
68,HI,4,MOFA,HN,6/20/18,1,14.13838104,7/18/19,1,11.18724289,1557.299049,0.145554387,1.597755032,-34.64683667,-15.30890745,2.112953363,15.60023122,-0.7320715,-2.38822496,-0.244023833,-0.59705624,-2.064754885,-1.676513079,-0.373684469,-1.292285015,-0.115489456,-0.038272269,-0.132354121
69,HI,5,MOFA,HN,6/20/18,1,18.94912384,7/18/19,1,18.88211627,30308.8915,7.148728115,30.25090702,49.57645379,56.27513625,61.24671718,322.1338212,30.36395044,181.2812468,10.12131681,45.3203117,146.8145732,1.41582064,1.498147202,4.853228802,0.165254846,0.140687841,0.45575647
70,HI,6,MOFA,HN,6/20/18,0,NA,7/18/19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,HI,7,MOFA,HN,6/20/18,1,17.44027526,7/18/19,1,17.16435084,4290.639535,0.687847273,4.151060786,-40.3985959,25.38229911,9.822756961,44.24921224,-3.968255891,11.2314674,-1.322751964,2.807866851,8.73822585,-1.923031486,0.676421521,2.105058514,-0.134661986,0.063455748,0.197477546
72,HI,8,MOFA,HN,6/20/18,0,16.93892984,7/18/19,0,16.22153518,34.5,0.002061582,0.034439299,-76.32699098,43.75125491,0.061778034,0.620931921,-0.047153315,0.271665508,-0.015717772,0.067916377,0.244636842,-7.624131157,1.972060375,7.103421074,-0.254423303,0.109378137,0.393983356
73,HI,1,MOFA,LN,6/20/18,1,NA,7/18/19,1,15.26247042,20966.54291,2.476681631,17.66233555,NA,66.27698789,NA,120.4904365,NA,79.85743199,NA,19.964358,NA,NA,1.13033511,NA,NA,0.16569247,NA
74,HI,2,MOFA,LN,6/20/18,1,21.3716363,7/18/19,1,16.11590676,2076.9,0.213987802,2.145089592,85.00665471,88.51905451,2.673209857,20.4326365,2.272406273,18.08677664,0.757468758,4.52169416,15.72047655,3.539775401,2.107927882,7.328587397,0.283355516,0.221297636,0.769380718
75,HI,3,MOFA,LN,6/20/18,1,22.71819623,7/18/19,1,18.58089096,3043.3679,0.090069376,2.713863516,88.21585424,96.6719326,1.208641229,24.00701082,1.066213185,23.20804132,0.355404395,5.802010329,22.03962448,3.94589605,2.137915299,8.121124866,0.294052847,0.241679831,0.918049508
76,HI,4,MOFA,LN,6/20/18,1,23.35673218,7/18/19,1,15.94054487,1123.4901,0.182654044,1.050323838,78.27164574,70.61611374,2.364047083,9.26100546,1.850378558,6.53976215,0.616792853,1.634940537,4.870363972,3.376836555,1.556606142,4.637011744,0.260905486,0.176540284,0.52590013
77,HI,5,MOFA,LN,6/20/18,1,17.51413607,7/18/19,1,13.84360786,5104.0005,0.231901364,5.511110468,53.01828597,25.16061085,2.413600269,40.36196112,1.279649493,10.15531597,0.426549831,2.538828992,9.548039397,1.83935887,0.460674669,1.732507351,0.17672762,0.062901527,0.236560344
78,HI,6,MOFA,LN,6/20/18,1,24.25591044,7/18/19,1,15.1919816,8729.2085,1.432808574,10.82073699,67.54756871,89.47466816,16.08444632,89.6158235,10.86465243,80.18346069,3.62155081,20.04586517,65.79195572,2.527588735,1.852541578,6.080173262,0.225158562,0.22368667,0.734155567
79,HI,7,MOFA,LN,6/20/18,1,NA,7/18/19,1,14.33554319,141.4173913,0.02745882,0.145664515,NA,-45.25539758,NA,1.480365364,NA,-0.669945231,NA,-0.167486308,NA,NA,-1.14980857,NA,NA,-0.113138494,NA
80,HI,8,MOFA,LN,6/20/18,0,14.09140205,7/18/19,0,NA,NA,0.000693721,NA,19.48202505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,HI,1,MOFA,MN,6/20/18,1,21.72104011,7/18/19,1,14.86404049,743.4615385,0.118353409,0.792537833,57.58277771,68.11497326,0.833745426,6.99281168,0.480093775,4.763151806,0.160031258,1.190787952,4.195246332,1.352147435,1.50249982,5.293433521,0.191942592,0.170287433,0.599936982
82,HI,2,MOFA,MN,6/20/18,1,19.37229041,7/18/19,1,15.05039096,3230.6891,0.817938672,3.392485344,59.33319552,17.90391081,9.759378887,32.67811494,5.790551357,5.850660553,1.930183786,1.462665138,4.103350062,2.359814802,0.43114855,1.209540984,0.197777318,0.044759777,0.125568751
83,HI,3,MOFA,MN,6/20/18,0,24.49563364,7/18/19,0,12.90800509,79.5401,0.018257265,0.090610372,-77.22867021,55.46252808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,HI,4,MOFA,MN,6/20/18,1,19.6863327,7/18/19,1,13.90703519,8115.30774,1.443467344,9.367692329,19.72531789,35.45858928,12.54093192,51.57669857,2.473738688,18.28836971,0.824579563,4.572092428,13.84153217,0.571249198,0.488070302,1.477581851,0.06575106,0.088646473,0.268367937
85,HI,5,MOFA,MN,6/20/18,1,20.14301475,7/18/19,1,15.62424695,5197.67,0.320469532,4.195814044,23.50744021,77.43070718,3.805263074,42.55852534,0.894519942,32.95336714,0.298173314,8.238341784,30.00692503,0.930426403,1.96346685,7.151633679,0.078358134,0.193576768,0.70507436
86,HI,6,MOFA,MN,6/20/18,1,19.70962544,7/18/19,1,15.38859396,2326.805873,0.612020712,2.273985942,72.2196142,81.96105824,8.140620698,22.81200846,5.879124862,18.69696354,1.959708287,4.674240885,12.02482467,3.202029357,2.055527608,5.287994286,0.240732047,0.204902646,0.52712696
87,HI,7,MOFA,MN,6/20/18,0,22.25932883,7/18/19,0,16.79831184,187.1839,0.019829894,0.161186855,-151.9218025,53.55647461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,HI,8,MOFA,MN,6/20/18,0,NA,7/18/19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,HI,1,MOFA,PHN,6/20/18,1,23.2633412,7/18/19,1,15.97282994,431.4,0.064634023,0.468681372,-15.5439943,40.2235318,0.514530066,3.431697421,-0.079978524,1.380349903,-0.026659508,0.345087476,1.173387738,-0.412468648,0.736294413,2.503593717,-0.051813314,0.10055883,0.34192634
90,HI,2,MOFA,PHN,6/20/18,0,NA,7/18/19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,HI,3,MOFA,PHN,6/20/18,1,28.86696961,7/18/19,1,18.34721501,4738.6925,0.435969147,5.051654882,39.38332909,80.87486359,5.063384138,57.70847622,1.994129238,46.67165142,0.664709746,11.66791286,42.57664641,1.524671529,2.309720899,8.428257156,0.131277764,0.202187159,0.737788436
92,HI,4,MOFA,PHN,6/20/18,1,20.72094987,7/18/19,1,17.38188208,17591.9091,5.400308438,16.63125883,81.11967443,71.92312356,70.45842883,204.4495963,57.15564808,147.0465358,19.05188269,36.76163395,96.37063295,3.527924916,2.210393953,5.794548322,0.270398915,0.179807809,0.471366218
93,HI,5,MOFA,PHN,6/20/18,1,28.02339097,7/18/19,1,19.16575276,7214.622523,1.498486147,6.634875085,72.01114032,31.33866861,20.63243424,79.971615,14.85765117,25.0620394,4.95255039,6.265509851,18.59610921,3.305035819,0.944329738,2.802782113,0.240037134,0.078346672,0.232533871
94,HI,6,MOFA,PHN,6/20/18,1,26.34833325,7/18/19,1,15.69176033,2359.6654,0.485448265,2.337991233,45.54855342,36.71335031,5.280527366,24.10000152,2.405203828,8.847917983,0.801734609,2.211979496,6.909259473,1.651534607,0.946102562,2.955211883,0.151828511,0.091783376,0.286691246
95,HI,7,MOFA,PHN,6/20/18,1,24.96225511,7/18/19,1,16.06232033,3872.718379,0.857996204,4.876658074,53.60305136,-59.80385934,9.743770565,50.40314007,5.22295834,-30.14302299,1.740986113,-7.535755748,-24.31587215,2.029130322,-1.545270477,-4.986175323,0.178676838,-0.149509648,-0.482427724
96,HI,8,MOFA,PHN,6/20/18,1,24.29886812,7/18/19,1,17.91209872,1797.7464,0.13112086,1.430953757,72.4652616,74.92473921,1.143473601,13.88045394,0.828621137,10.39989392,0.276207046,2.599973479,9.543149303,2.106507275,1.816951433,6.66908295,0.241550872,0.187311848,0.687524294