Counter,Location,Experiment,Site,Block,PID,Species,Treatment,Date_04,Use_growth_04,Soil_Pase_umol_g_hr_04
1,HI,FX,Volcano,1,246,ACKO,HN,6/20/18,0,NA
2,HI,FX,Volcano,2,258,ACKO,HN,6/20/18,1,NA
3,HI,FX,Volcano,3,270,ACKO,HN,6/20/18,0,NA
4,HI,FX,Volcano,4,282,ACKO,HN,6/20/18,1,58.96577467
5,HI,FX,Volcano,5,294,ACKO,HN,6/20/18,1,1.28122034
6,HI,FX,Volcano,6,306,ACKO,HN,6/20/18,1,6.808328673
7,HI,FX,Volcano,7,318,ACKO,HN,6/20/18,0,31.64363319
8,HI,FX,Volcano,8,330,ACKO,HN,6/20/18,0,13.92502514
9,HI,FX,Volcano,1,240,ACKO,LN,6/20/18,1,15.19124677
10,HI,FX,Volcano,2,252,ACKO,LN,6/20/18,1,11.19831534
11,HI,FX,Volcano,3,264,ACKO,LN,6/20/18,0,NA
12,HI,FX,Volcano,4,276,ACKO,LN,6/20/18,0,NA
13,HI,FX,Volcano,5,288,ACKO,LN,6/20/18,1,21.48262627
14,HI,FX,Volcano,6,300,ACKO,LN,6/20/18,0,2.930741472
15,HI,FX,Volcano,7,312,ACKO,LN,6/20/18,1,2.278530336
16,HI,FX,Volcano,8,324,ACKO,LN,6/20/18,1,22.24053151
17,HI,FX,Volcano,1,243,ACKO,MN,6/20/18,0,25.70437093
18,HI,FX,Volcano,2,255,ACKO,MN,6/20/18,0,23.7050244
19,HI,FX,Volcano,3,267,ACKO,MN,6/20/18,1,NA
20,HI,FX,Volcano,4,279,ACKO,MN,6/20/18,1,22.50604145
21,HI,FX,Volcano,5,291,ACKO,MN,6/20/18,0,25.64461875
22,HI,FX,Volcano,6,303,ACKO,MN,6/20/18,1,28.11663887
23,HI,FX,Volcano,7,315,ACKO,MN,6/20/18,1,23.78684926
24,HI,FX,Volcano,8,327,ACKO,MN,6/20/18,1,9.543590587
25,HI,FX,Volcano,1,249,ACKO,PHN,6/20/18,0,NA
26,HI,FX,Volcano,2,261,ACKO,PHN,6/20/18,1,24.58763509
27,HI,FX,Volcano,3,273,ACKO,PHN,6/20/18,1,14.67649158
28,HI,FX,Volcano,4,285,ACKO,PHN,6/20/18,1,2.74153925
29,HI,FX,Volcano,5,297,ACKO,PHN,6/20/18,1,100.555006
30,HI,FX,Volcano,6,309,ACKO,PHN,6/20/18,1,59.15584749
31,HI,FX,Volcano,7,321,ACKO,PHN,6/20/18,1,2.261361355
32,HI,FX,Volcano,8,333,ACKO,PHN,6/20/18,0,NA
33,HI,FX,Volcano,1,247,DOVI,HN,6/20/18,1,17.41195886
34,HI,FX,Volcano,2,259,DOVI,HN,6/20/18,1,56.94897043
35,HI,FX,Volcano,3,271,DOVI,HN,6/20/18,1,18.2398051
36,HI,FX,Volcano,4,283,DOVI,HN,6/20/18,1,13.09814485
37,HI,FX,Volcano,5,295,DOVI,HN,6/20/18,0,NA
38,HI,FX,Volcano,6,307,DOVI,HN,6/20/18,1,8.798543774
39,HI,FX,Volcano,7,319,DOVI,HN,6/20/18,1,18.40775617
40,HI,FX,Volcano,8,331,DOVI,HN,6/20/18,1,32.26504981
41,HI,FX,Volcano,1,241,DOVI,LN,6/20/18,1,4.939451821
42,HI,FX,Volcano,2,253,DOVI,LN,6/20/18,1,19.18615947
43,HI,FX,Volcano,3,265,DOVI,LN,6/20/18,1,28.95148432
44,HI,FX,Volcano,4,277,DOVI,LN,6/20/18,0,NA
45,HI,FX,Volcano,5,289,DOVI,LN,6/20/18,0,NA
46,HI,FX,Volcano,6,301,DOVI,LN,6/20/18,1,2.267055523
47,HI,FX,Volcano,7,313,DOVI,LN,6/20/18,0,63.52669847
48,HI,FX,Volcano,8,325,DOVI,LN,6/20/18,1,14.43863268
49,HI,FX,Volcano,1,244,DOVI,MN,6/20/18,1,NA
50,HI,FX,Volcano,2,256,DOVI,MN,6/20/18,1,29.02015771
51,HI,FX,Volcano,3,268,DOVI,MN,6/20/18,1,NA
52,HI,FX,Volcano,4,280,DOVI,MN,6/20/18,1,15.45805775
53,HI,FX,Volcano,5,292,DOVI,MN,6/20/18,0,0.764395834
54,HI,FX,Volcano,6,304,DOVI,MN,6/20/18,1,28.47556705
55,HI,FX,Volcano,7,316,DOVI,MN,6/20/18,0,NA
56,HI,FX,Volcano,8,328,DOVI,MN,6/20/18,0,5.419641177
57,HI,FX,Volcano,1,250,DOVI,PHN,6/20/18,1,1.87320457
58,HI,FX,Volcano,2,262,DOVI,PHN,6/20/18,1,24.39762656
59,HI,FX,Volcano,3,274,DOVI,PHN,6/20/18,1,22.30448335
60,HI,FX,Volcano,4,286,DOVI,PHN,6/20/18,0,NA
61,HI,FX,Volcano,5,298,DOVI,PHN,6/20/18,0,NA
62,HI,FX,Volcano,6,310,DOVI,PHN,6/20/18,1,0.594725348
63,HI,FX,Volcano,7,322,DOVI,PHN,6/20/18,1,13.42552481
64,HI,FX,Volcano,8,334,DOVI,PHN,6/20/18,1,8.135425373
65,HI,FX,Volcano,1,245,MOFA,HN,6/20/18,0,NA
66,HI,FX,Volcano,2,257,MOFA,HN,6/20/18,0,NA
67,HI,FX,Volcano,3,269,MOFA,HN,6/20/18,1,14.23305758
68,HI,FX,Volcano,4,281,MOFA,HN,6/20/18,1,40.68249516
69,HI,FX,Volcano,5,293,MOFA,HN,6/20/18,1,1.022961074
70,HI,FX,Volcano,6,305,MOFA,HN,6/20/18,0,NA
71,HI,FX,Volcano,7,317,MOFA,HN,6/20/18,1,14.61729229
72,HI,FX,Volcano,8,329,MOFA,HN,6/20/18,0,8.751222752
73,HI,FX,Volcano,1,239,MOFA,LN,6/20/18,1,15.115184
74,HI,FX,Volcano,2,251,MOFA,LN,6/20/18,1,4.29770095
75,HI,FX,Volcano,3,263,MOFA,LN,6/20/18,1,17.51937643
76,HI,FX,Volcano,4,275,MOFA,LN,6/20/18,1,15.86475073
77,HI,FX,Volcano,5,287,MOFA,LN,6/20/18,1,3.720934957
78,HI,FX,Volcano,6,299,MOFA,LN,6/20/18,1,1.201857623
79,HI,FX,Volcano,7,311,MOFA,LN,6/20/18,1,8.004555314
80,HI,FX,Volcano,8,323,MOFA,LN,6/20/18,0,7.931202457
81,HI,FX,Volcano,1,242,MOFA,MN,6/20/18,1,22.63754352
82,HI,FX,Volcano,2,254,MOFA,MN,6/20/18,1,19.77600487
83,HI,FX,Volcano,3,266,MOFA,MN,6/20/18,0,20.7763406
84,HI,FX,Volcano,4,278,MOFA,MN,6/20/18,1,56.12433797
85,HI,FX,Volcano,5,290,MOFA,MN,6/20/18,1,1.986029234
86,HI,FX,Volcano,6,302,MOFA,MN,6/20/18,1,1.834549482
87,HI,FX,Volcano,7,314,MOFA,MN,6/20/18,0,0.366919858
88,HI,FX,Volcano,8,326,MOFA,MN,6/20/18,0,NA
89,HI,FX,Volcano,1,248,MOFA,PHN,6/20/18,1,NA
90,HI,FX,Volcano,2,260,MOFA,PHN,6/20/18,0,NA
91,HI,FX,Volcano,3,272,MOFA,PHN,6/20/18,1,14.65093179
92,HI,FX,Volcano,4,284,MOFA,PHN,6/20/18,1,0.143010349
93,HI,FX,Volcano,5,296,MOFA,PHN,6/20/18,1,20.86239967
94,HI,FX,Volcano,6,308,MOFA,PHN,6/20/18,1,5.684259673
95,HI,FX,Volcano,7,320,MOFA,PHN,6/20/18,1,10.1122875
96,HI,FX,Volcano,8,332,MOFA,PHN,6/20/18,1,12.46533461